A,6,7,3500,6,-66,
A,6,8,4000,6,-83,
A,6,9,4500,6,-87,
A,6,0,0,7,-87,
A,6,1,500,7,-83,
A,6,2,1000,7,-87,
A,6,3,1500,7,-87,
A,6,4,2000,7,-83,
A,6,5,2500,7,-83,
A,6,6,3000,7,-83,
A,6,7,3500,7,-87,
A,6,9,4500,7,-82,
A,7,5,2500,0,-87,
A,7,6,3000,0,-87,
A,7,0,0,1,-87,
A,7,1,500,1,-87,
A,7,2,1000,1,-87,
A,7,3,1500,1,-87,
A,7,5,2500,1,-83,
A,7,6,3000,1,-83,
A,7,7,3500,1,-87,
A,7,8,4000,1,-87,
A,7,9,4500,1,-83,
A,7,0,0,2,-83,
A,7,1,500,2,-83,
A,7,2,1000,2,-83,
A,7,3,1500,2,-83,
A,7,4,2000,2,-83,
A,7,0,0,4,-83,
A,7,1,500,4,-87,
A,7,2,1000,4,-87,
A,7,3,1500,4,-87,
A,7,4,2000,4,-87,
A,7,5,2500,4,-83,
A,7,6,3000,4,-87,
A,7,7,3500,4,-83,
A,7,8,4000,4,-82,
A,7,9,4500,4,-83,
A,7,0,0,5,-83,
A,7,1,500,5,-83,
A,7,2,1000,5,-83,
A,7,3,1500,5,-83,
A,7,4,2000,5,-83,
A,7,5,2500,5,-83,
A,7,6,3000,5,-83,
A,7,7,3500,5,-83,
A,7,8,4000,5,-83,
A,7,9,4500,5,-83,
A,7,0,0,6,-83,
A,7,1,500,6,-78,
A,7,2,1000,6,-83,
A,7,3,1500,6,-83,
A,7,4,2000,6,-73,
A,7,5,2500,6,-73,
A,7,6,3000,6,-73,
A,7,7,3500,6,-73,
A,7,8,4000,6,-73,
A,7,9,4500,6,-73,
A,7,0,0,7,-73,
A,7,1,500,7,-69,
A,7,2,1000,7,-73,
A,7,3,1500,7,-73,
A,7,4,2000,7,-73,
A,7,5,2500,7,-73,
A,7,6,3000,7,-73,
A,7,7,3500,7,-73,
A,7,8,4000,7,-73,
A,7,9,4500,7,-73,
A,8,0,0,4,-87,
A,8,1,500,4,-87,
A,8,2,1000,4,-87,
A,8,3,1500,4,-87,
A,8,4,2000,4,-87,
A,8,5,2500,4,-87,
A,8,6,3000,4,-87,
A,8,0,0,6,-87,
A,8,1,500,6,-87,
A,8,2,1000,6,-87,
A,8,3,1500,6,-87,
A,8,4,2000,6,-87,
A,8,5,2500,6,-87,
A,8,6,3000,6,-87,
A,8,7,3500,6,-87,
A,8,8,4000,6,-83,
A,8,9,4500,6,-87,
A,8,0,0,7,-83,
A,8,1,500,7,-83,
A,8,2,1000,7,-83,
A,8,3,1500,7,-83,
A,8,4,2000,7,-83,
A,8,5,2500,7,-83,
A,8,6,3000,7,-83,
A,8,7,3500,7,-83,
A,8,8,4000,7,-83,
A,8,9,4500,7,-83,
A,9,0,0,0,-87,
A,9,1,500,0,-87,
A,9,2,1000,0,-83,
A,9,3,1500,0,-87,
A,9,4,2000,0,-87,
A,9,5,2500,0,-83,
A,9,6,3000,0,-83,
A,9,7,3500,0,-83,
A,9,8,4000,0,-87,
A,9,9,4500,0,-87,
A,9,0,0,1,-83,
A,9,1,500,1,-83,
A,9,2,1000,1,-83,
A,9,3,1500,1,-83,
A,9,4,2000,1,-83,
A,9,5,2500,1,-83,
A,9,6,3000,1,-83,
A,9,7,3500,1,-83,
A,9,0,0,4,-83,
A,9,1,500,4,-83,
A,9,2,1000,4,-83,
A,9,3,1500,4,-83,
A,9,4,2000,4,-83,
A,9,5,2500,4,-83,
A,9,6,3000,4,-83,
A,9,7,3500,4,-83,
A,9,8,4000,4,-83,
A,9,9,4500,4,-82,
A,9,0,0,5,-83,
A,9,1,500,5,-83,
A,9,2,1000,5,-83,
